Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
19.01.2026;17.01.2026;-16,22;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260117771262';20260117390000000177
18.01.2026;18.01.2026;-106,06;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260118390000000201
17.01.2026;16.01.2026;-25,63;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260116714662';20260116390000000178
16.01.2026;15.01.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PZ1RPW;-;-;-;'431871******3110 260115795525';20260115390000000175
13.01.2026;11.01.2026;-7,34;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260111939689';20260111390000000194
12.01.2026;10.01.2026;-7,88;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260110528019';20260110390000000183
11.01.2026;11.01.2026;+138,67;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260111390000000199
11.01.2026;11.01.2026;-21,63;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260111655873';20260111390000000186
10.01.2026;10.01.2026;-6,37;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260110692814';20260110390000000184
10.01.2026;09.01.2026;-7,40;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260109700237';20260109390000000185
09.01.2026;07.01.2026;-57,60;KORTTIOSTO;MATTI MEIKÄLÄINEN;Verkkokauppa.com;-;-;-;'431871******3110 260107624733';20260107390000000196
07.01.2026;07.01.2026;-27,91;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260107390000000172
07.01.2026;06.01.2026;-5,78;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260106993718';20260106390000000195
06.01.2026;05.01.2026;-12,27;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 260105832440';20260105390000000197
06.01.2026;05.01.2026;-12,16;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260105325352';20260105390000000179
05.01.2026;05.01.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260105390000000171
04.01.2026;04.01.2026;-35,95;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260104805457';20260104390000000180
04.01.2026;03.01.2026;-21,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260103257437';20260103390000000193
03.01.2026;02.01.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260102427212';20260102390000000174
02.01.2026;01.01.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260101732538';20260101390000000173
28.12.2025;28.12.2025;-15,26;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 251228496760';20251228390000000150
28.12.2025;28.12.2025;+2857,57;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 12/2025';20251228390000000142
28.12.2025;27.12.2025;-6,02;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251227377651';20251227390000000165
27.12.2025;27.12.2025;-117,48;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20251227390000000168
25.12.2025;25.12.2025;-28,37;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 251225487762';20251225390000000154
25.12.2025;24.12.2025;-23,78;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 251224547459';20251224390000000158
24.12.2025;24.12.2025;-16,85;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 251224132126';20251224390000000162
23.12.2025;21.12.2025;-15,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 251221888731';20251221390000000157
23.12.2025;21.12.2025;-22,87;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 251221393023';20251221390000000151
22.12.2025;22.12.2025;-7,32;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 251222228189';20251222390000000164
20.12.2025;20.12.2025;+3,18;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20251220390000000167
20.12.2025;19.12.2025;-18,73;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 251219425353';20251219390000000156
20.12.2025;18.12.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 251218521026';20251218390000000148
19.12.2025;18.12.2025;-10,27;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 251218282104';20251218390000000153
19.12.2025;17.12.2025;-17,27;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 251217857916';20251217390000000155
18.12.2025;16.12.2025;-47,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;Verkkokauppa.com;-;-;-;'431871******3110 251216417929';20251216390000000166
17.12.2025;15.12.2025;-1,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251215605092';20251215390000000163
16.12.2025;15.12.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*P1CM68T;-;-;-;'431871******3110 251215131275';20251215390000000147
16.12.2025;14.12.2025;-10,34;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 251214392819';20251214390000000159
14.12.2025;13.12.2025;-12,53;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 251213470790';20251213390000000161
09.12.2025;09.12.2025;-28,29;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 251209561815';20251209390000000152
07.12.2025;07.12.2025;-33,96;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20251207390000000144
06.12.2025;05.12.2025;-35,53;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 251205825421';20251205390000000149
05.12.2025;05.12.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20251205390000000143
03.12.2025;02.12.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 251202373899';20251202390000000146
02.12.2025;01.12.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 251201377848';20251201390000000145
01.12.2025;01.12.2025;-19,51;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 251201426342';20251201390000000160
29.11.2025;28.11.2025;-21,05;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 251128499300';20251128390000000131
28.11.2025;28.11.2025;+2821,33;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 11/2025';20251128390000000118
26.11.2025;26.11.2025;-1,68;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 251126656540';20251126390000000136
25.11.2025;25.11.2025;-8,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 251125309953';20251125390000000133
24.11.2025;22.11.2025;-2,76;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251122111011';20251122390000000137
22.11.2025;21.11.2025;-12,15;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 251121451009';20251121390000000130
20.11.2025;18.11.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 251118484955';20251118390000000124
16.11.2025;15.11.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*P18MSDD;-;-;-;'431871******3110 251115870845';20251115390000000123
13.11.2025;13.11.2025;-37,95;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 251113381087';20251113390000000126
11.11.2025;11.11.2025;+15,05;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20251111390000000139
07.11.2025;07.11.2025;-77,86;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20251107390000000140
07.11.2025;07.11.2025;-8,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 251107829433';20251107390000000134
07.11.2025;07.11.2025;-23,58;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20251107390000000120
07.11.2025;05.11.2025;-9,49;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 251105919579';20251105390000000135
05.11.2025;05.11.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20251105390000000119
05.11.2025;04.11.2025;-9,85;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 251104856538';20251104390000000138
05.11.2025;04.11.2025;-11,58;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 251104421787';20251104390000000129
04.11.2025;02.11.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 251102218659';20251102390000000122
03.11.2025;02.11.2025;-23,64;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 251102843878';20251102390000000125
03.11.2025;01.11.2025;-5,98;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 251101739518';20251101390000000132
03.11.2025;01.11.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 251101266080';20251101390000000127
03.11.2025;01.11.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 251101840501';20251101390000000121
02.11.2025;02.11.2025;-12,22;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 251102635899';20251102390000000128
28.10.2025;28.10.2025;-18,18;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 251028705780';20251028390000000109
28.10.2025;28.10.2025;+2808,39;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 10/2025';20251028390000000092
27.10.2025;26.10.2025;-10,24;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *CDON;-;-;-;'431871******3110 251026646201';20251026390000000114
25.10.2025;25.10.2025;-35,07;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 251025610463';20251025390000000105
25.10.2025;24.10.2025;-7,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 251024773948';20251024390000000108
24.10.2025;23.10.2025;-5,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251023715765';20251023390000000113
22.10.2025;22.10.2025;-22,07;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 251022305118';20251022390000000103
18.10.2025;18.10.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 251018956636';20251018390000000098
15.10.2025;15.10.2025;+125,53;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20251015390000000116
15.10.2025;15.10.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PVUG74;-;-;-;'431871******3110 251015406578';20251015390000000097
15.10.2025;13.10.2025;-25,46;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 251013376487';20251013390000000110
14.10.2025;14.10.2025;-18,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 251014744598';20251014390000000107
14.10.2025;13.10.2025;-7,88;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 251013770409';20251013390000000100
14.10.2025;12.10.2025;-10,02;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 251012308036';20251012390000000115
10.10.2025;10.10.2025;-12,71;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 251010631849';20251010390000000101
09.10.2025;09.10.2025;-5,59;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251009783876';20251009390000000112
07.10.2025;07.10.2025;-5,05;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 251007526338';20251007390000000111
07.10.2025;07.10.2025;-29,01;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20251007390000000094
05.10.2025;05.10.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20251005390000000093
05.10.2025;03.10.2025;-14,20;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 251003807726';20251003390000000099
03.10.2025;03.10.2025;-6,24;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 251003990816';20251003390000000106
03.10.2025;02.10.2025;-9,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 251002554737';20251002390000000102
03.10.2025;02.10.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 251002775696';20251002390000000096
03.10.2025;01.10.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 251001774350';20251001390000000095
02.10.2025;01.10.2025;-33,97;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 251001640166';20251001390000000104
28.09.2025;28.09.2025;+2771,40;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 9/2025';20250928390000000061
27.09.2025;25.09.2025;-31,16;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250925888944';20250925390000000074
26.09.2025;25.09.2025;-13,13;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250925108356';20250925390000000080
26.09.2025;24.09.2025;-4,23;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250924188014';20250924390000000083
25.09.2025;23.09.2025;-10,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *CDON;-;-;-;'431871******3110 250923716618';20250923390000000088
25.09.2025;23.09.2025;-19,01;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250923253846';20250923390000000082
24.09.2025;23.09.2025;-6,61;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250923903765';20250923390000000086
23.09.2025;23.09.2025;-138,41;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250923390000000090
23.09.2025;22.09.2025;-10,10;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250922294799';20250922390000000076
20.09.2025;18.09.2025;-10,26;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250918719906';20250918390000000069
19.09.2025;18.09.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 250918395827';20250918390000000067
18.09.2025;18.09.2025;+26,35;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20250918390000000089
18.09.2025;18.09.2025;-5,21;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250918617442';20250918390000000087
18.09.2025;17.09.2025;-3,87;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250917254991';20250917390000000085
18.09.2025;17.09.2025;-30,75;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250917115410';20250917390000000073
17.09.2025;15.09.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*P10YW1K;-;-;-;'431871******3110 250915539986';20250915390000000066
16.09.2025;15.09.2025;-18,68;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250915230784';20250915390000000077
16.09.2025;14.09.2025;-4,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250914358500';20250914390000000081
16.09.2025;14.09.2025;-8,04;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250914224424';20250914390000000078
15.09.2025;15.09.2025;-33,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250915669104';20250915390000000079
15.09.2025;15.09.2025;-38,04;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250915342939';20250915390000000070
12.09.2025;12.09.2025;-7,07;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250912247973';20250912390000000084
12.09.2025;10.09.2025;-13,46;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250910174369';20250910390000000071
07.09.2025;07.09.2025;-21,32;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20250907390000000063
05.09.2025;05.09.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20250905390000000062
04.09.2025;04.09.2025;-36,83;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250904248181';20250904390000000075
04.09.2025;03.09.2025;-7,15;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250903980362';20250903390000000072
04.09.2025;02.09.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 250902662368';20250902390000000065
02.09.2025;01.09.2025;-26,68;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 250901477819';20250901390000000068
01.09.2025;01.09.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 250901318454';20250901390000000064
28.08.2025;28.08.2025;+2843,28;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 8/2025';20250828390000000032
28.08.2025;27.08.2025;-38,34;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 250827585480';20250827390000000042
27.08.2025;27.08.2025;+97,48;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250827390000000057
27.08.2025;26.08.2025;-27,53;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250826195556';20250826390000000041
26.08.2025;26.08.2025;-66,74;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250826390000000059
26.08.2025;24.08.2025;-7,43;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250824612888';20250824390000000046
23.08.2025;22.08.2025;-30,92;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 250822209105';20250822390000000039
23.08.2025;21.08.2025;-32,81;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250821121145';20250821390000000040
22.08.2025;22.08.2025;-23,58;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250822547391';20250822390000000050
22.08.2025;21.08.2025;-4,97;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 250821804500';20250821390000000051
18.08.2025;18.08.2025;-4,57;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250818877310';20250818390000000056
18.08.2025;18.08.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 250818244663';20250818390000000038
18.08.2025;17.08.2025;-36,93;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250817845145';20250817390000000045
18.08.2025;17.08.2025;-15,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250817294657';20250817390000000044
15.08.2025;15.08.2025;-3,68;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250815563776';20250815390000000054
15.08.2025;15.08.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*P1IIMD8;-;-;-;'431871******3110 250815916357';20250815390000000037
15.08.2025;14.08.2025;-3,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250814833264';20250814390000000055
14.08.2025;12.08.2025;-5,51;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 250812806319';20250812390000000052
13.08.2025;11.08.2025;-5,95;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250811505419';20250811390000000053
12.08.2025;12.08.2025;-15,76;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 250812750439';20250812390000000043
07.08.2025;07.08.2025;-35,39;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20250807390000000034
07.08.2025;05.08.2025;-18,96;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 250805409857';20250805390000000047
06.08.2025;05.08.2025;-4,76;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 250805696022';20250805390000000048
05.08.2025;05.08.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20250805390000000033
03.08.2025;01.08.2025;-27,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250801788779';20250801390000000049
02.08.2025;02.08.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 250802709757';20250802390000000036
02.08.2025;01.08.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 250801679861';20250801390000000035
29.07.2025;28.07.2025;-11,86;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250728415757';20250728390000000016
28.07.2025;28.07.2025;+2856,07;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 7/2025';20250728390000000001
28.07.2025;27.07.2025;-3,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250727872838';20250727390000000022
26.07.2025;26.07.2025;-22,18;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250726883775';20250726390000000019
